Date,Price,Open,High,Low,Vol.,Change %
12/19/24,3418.84,3627.82,3719.52,3337.46,1.17M,-5.76%
12/18/24,3627.88,3892.79,3902.30,3620.61,781.62K,-6.81%
12/17/24,3892.79,3986.91,4040.69,3851.17,493.60K,-2.36%
12/16/24,3986.91,3959.89,4102.90,3885.84,726.41K,0.68%
12/15/24,3959.81,3871.13,3973.48,3832.12,272.40K,2.29%
12/14/24,3871.13,3906.78,3943.06,3828.23,287.75K,-0.98%
12/13/24,3909.48,3881.57,3966.50,3853.92,417.74K,0.72%
12/12/24,3881.63,3831.70,3985.32,3797.58,634.18K,1.31%
12/11/24,3831.41,3628.97,3848.02,3564.79,509.73K,5.58%
12/10/24,3628.94,3718.98,3778.81,3521.57,1.02M,-2.42%
12/9/24,3718.98,4002.91,4005.08,3550.21,1.02M,-7.09%
12/8/24,4002.91,3996.25,4015.24,3924.77,273.27K,0.17%
12/7/24,3996.24,3998.92,4023.96,3969.39,303.07K,-0.08%
12/6/24,3999.51,3785.07,4084.99,3780.34,864.64K,5.66%
12/5/24,3785.10,3836.23,3950.67,3696.83,1.05M,-1.33%
12/4/24,3836.25,3615.07,3885.69,3615.07,1.06M,6.12%
12/3/24,3615.07,3643.50,3669.40,3510.19,729.65K,-0.78%
12/2/24,3643.48,3707.86,3756.70,3561.95,799.75K,-1.75%
12/1/24,3708.33,3702.96,3743.78,3660.98,465.31K,0.14%
11/30/24,3702.97,3592.13,3733.47,3572.64,563.91K,3.09%
11/29/24,3592.13,3578.42,3642.95,3539.02,472.94K,0.38%
11/28/24,3578.41,3653.26,3661.40,3530.79,613.22K,-2.06%
11/27/24,3653.79,3326.30,3684.68,3303.79,827.39K,9.85%
11/26/24,3326.30,3412.15,3460.40,3254.45,729.51K,-2.52%
11/25/24,3412.18,3361.47,3544.71,3301.68,1.02M,1.51%
11/24/24,3361.41,3393.92,3448.58,3285.45,525.45K,-0.96%
11/23/24,3393.91,3327.68,3495.09,3316.84,785.63K,1.99%
11/22/24,3327.77,3356.42,3424.47,3261.04,661.77K,-0.85%
11/21/24,3356.43,3069.96,3386.41,3034.44,1.06M,9.34%
11/20/24,3069.72,3106.07,3158.15,3030.91,550.53K,-1.17%
11/19/24,3105.97,3207.54,3219.80,3066.26,549.16K,-3.16%
11/18/24,3207.46,3075.42,3220.65,3052.29,698.67K,4.29%
11/17/24,3075.42,3132.04,3160.10,3037.49,485.17K,-1.81%
11/16/24,3132.00,3089.44,3215.90,3072.83,456.29K,1.38%
11/15/24,3089.45,3058.15,3128.59,3015.75,557.27K,1.02%
11/14/24,3058.22,3187.02,3238.39,3038.03,661.29K,-4.04%
11/13/24,3187.02,3244.57,3326.89,3117.79,988.07K,-1.71%
11/12/24,3242.44,3372.15,3440.05,3209.16,1.04M,-3.85%
11/11/24,3372.13,3185.97,3384.62,3107.45,1.06M,5.84%
11/10/24,3186.05,3126.25,3247.49,3076.40,925.65K,1.87%
11/9/24,3127.69,2961.62,3153.38,2954.56,560.62K,5.62%
11/8/24,2961.34,2894.20,2981.51,2887.19,598.52K,2.32%
11/7/24,2894.13,2721.85,2914.81,2700.01,784.35K,6.33%
11/6/24,2721.85,2422.50,2740.34,2422.03,1.07M,12.36%
11/5/24,2422.50,2398.95,2478.74,2380.80,365.02K,0.98%
11/4/24,2398.95,2457.68,2490.21,2362.91,335.81K,-2.39%
11/3/24,2457.68,2492.54,2496.33,2411.72,305.38K,-1.39%
11/2/24,2492.45,2511.96,2523.41,2472.02,158.36K,-0.78%
11/1/24,2511.96,2519.14,2584.17,2471.45,463.34K,-0.28%
10/31/24,2519.14,2658.62,2668.39,2506.64,432.07K,-5.25%
10/30/24,2658.62,2638.64,2719.90,2600.61,494.31K,0.76%
10/29/24,2638.64,2567.41,2679.50,2561.32,486.72K,2.77%
10/28/24,2567.41,2507.82,2587.71,2473.03,393.16K,2.39%
10/27/24,2507.39,2482.52,2525.37,2465.72,148.63K,1.00%
10/26/24,2482.52,2441.20,2506.39,2430.77,265.53K,1.69%
10/25/24,2441.18,2535.87,2564.13,2386.98,550.79K,-3.73%
10/24/24,2535.87,2524.64,2561.75,2508.98,312.65K,0.39%
10/23/24,2526.10,2622.91,2625.51,2463.67,385.15K,-3.65%
10/22/24,2621.79,2666.66,2671.28,2607.54,293.69K,-1.68%
10/21/24,2666.66,2747.28,2766.10,2656.65,336.97K,-2.93%
10/20/24,2747.28,2647.42,2757.52,2635.82,280.67K,3.77%
10/19/24,2647.39,2641.72,2662.63,2631.27,113.68K,0.21%
10/18/24,2641.72,2605.53,2675.17,2596.72,315.00K,1.39%
10/17/24,2605.53,2611.09,2646.96,2578.23,242.98K,-0.21%
10/16/24,2611.09,2607.79,2645.42,2589.72,280.52K,0.12%
10/15/24,2607.84,2630.54,2682.02,2540.15,442.58K,-0.86%
10/14/24,2630.54,2468.94,2651.52,2444.63,474.24K,6.55%
10/13/24,2468.92,2476.46,2484.13,2437.44,130.46K,-0.31%
10/12/24,2476.48,2436.77,2489.53,2434.39,150.00K,1.63%
10/11/24,2436.73,2385.40,2470.65,2382.22,254.87K,2.15%
10/10/24,2385.40,2370.10,2417.90,2353.08,288.05K,0.64%
10/9/24,2370.13,2440.91,2472.03,2355.24,268.06K,-2.90%
10/8/24,2440.93,2422.73,2461.96,2403.20,221.59K,0.75%
10/7/24,2422.75,2440.33,2520.05,2407.05,324.83K,-0.72%
10/6/24,2440.33,2414.98,2455.95,2407.13,120.24K,1.05%
10/5/24,2414.98,2414.44,2427.34,2390.08,114.50K,0.02%
10/4/24,2414.43,2349.67,2440.74,2339.97,263.74K,2.76%
10/3/24,2349.67,2365.53,2402.68,2311.68,344.36K,-0.67%
10/2/24,2365.57,2449.65,2498.70,2355.21,343.59K,-3.43%
10/1/24,2449.67,2602.30,2656.71,2422.11,535.54K,-5.91%
9/30/24,2603.48,2657.67,2661.71,2579.32,308.41K,-2.04%
9/29/24,2657.67,2675.71,2683.73,2634.69,171.03K,-0.67%
9/28/24,2675.71,2694.53,2703.83,2651.38,145.42K,-0.70%
9/27/24,2694.53,2632.05,2726.69,2616.01,304.78K,2.37%
9/26/24,2632.05,2580.29,2664.95,2560.48,311.52K,2.00%
9/25/24,2580.34,2652.47,2672.17,2557.82,244.76K,-2.72%
9/24/24,2652.50,2647.65,2669.32,2593.31,330.16K,0.18%
9/23/24,2647.65,2581.06,2701.60,2544.68,369.37K,2.53%
9/22/24,2582.35,2613.25,2631.37,2527.75,233.74K,-1.19%
9/21/24,2613.35,2561.29,2619.81,2530.28,184.26K,2.01%
9/20/24,2561.79,2464.52,2570.58,2438.98,411.52K,3.95%
9/19/24,2464.49,2374.95,2491.54,2373.22,383.18K,3.89%
9/18/24,2372.18,2341.83,2372.54,2278.97,346.21K,1.30%
9/17/24,2341.82,2295.72,2392.33,2264.52,324.97K,2.01%
9/16/24,2295.72,2317.04,2334.45,2254.52,385.30K,-0.92%
9/15/24,2317.04,2417.56,2428.91,2294.55,211.27K,-4.16%
9/14/24,2417.56,2439.29,2440.40,2384.99,154.06K,-0.92%
9/13/24,2440.12,2361.79,2459.47,2337.76,302.56K,3.32%
9/12/24,2361.79,2340.33,2387.25,2316.39,249.29K,0.92%
9/11/24,2340.19,2387.98,2388.40,2279.00,333.29K,-1.99%
9/10/24,2387.71,2359.55,2397.10,2323.91,263.70K,1.19%
9/9/24,2359.60,2296.24,2377.64,2274.51,375.74K,2.76%
9/8/24,2296.19,2273.70,2331.99,2243.34,233.21K,0.94%
9/7/24,2274.87,2225.69,2310.57,2222.93,259.55K,2.21%
9/6/24,2225.72,2368.86,2407.07,2151.80,723.22K,-6.06%
9/5/24,2369.18,2450.74,2465.66,2351.72,316.78K,-3.31%
9/4/24,2450.18,2423.41,2488.86,2317.85,422.18K,1.11%
9/3/24,2423.40,2538.35,2551.94,2419.89,250.97K,-4.53%
9/2/24,2538.35,2427.35,2560.67,2425.66,299.34K,4.57%
9/1/24,2427.49,2513.06,2515.77,2403.61,250.52K,-3.42%
8/31/24,2513.56,2525.47,2532.93,2493.84,115.17K,-0.47%
8/30/24,2525.45,2528.49,2540.79,2436.95,378.49K,-0.13%
8/29/24,2528.72,2527.78,2594.63,2509.17,270.41K,0.04%
8/28/24,2527.73,2457.92,2553.02,2421.79,515.14K,2.84%
8/27/24,2457.99,2680.18,2699.73,2396.02,477.20K,-8.29%
8/26/24,2680.30,2746.10,2761.69,2668.63,250.08K,-2.46%
8/25/24,2747.99,2768.90,2792.11,2734.78,175.38K,-0.74%
8/24/24,2768.49,2763.04,2818.05,2735.78,296.76K,0.20%
8/23/24,2762.86,2623.06,2794.82,2622.15,456.21K,5.33%
8/22/24,2623.06,2630.67,2644.06,2587.15,237.74K,-0.29%
8/21/24,2630.67,2572.74,2659.21,2541.32,303.58K,2.25%
8/20/24,2572.90,2637.10,2692.61,2557.87,342.51K,-2.43%
8/19/24,2637.10,2612.10,2647.65,2565.17,252.46K,0.96%
8/18/24,2612.10,2614.35,2682.09,2596.76,197.89K,-0.09%
8/17/24,2614.35,2592.38,2626.62,2588.44,104.83K,0.85%
8/16/24,2592.38,2569.90,2627.47,2552.92,305.13K,0.89%
8/15/24,2569.44,2662.95,2675.13,2525.00,387.82K,-3.51%
8/14/24,2662.95,2702.44,2761.71,2636.00,365.55K,-1.48%
8/13/24,2702.95,2722.66,2737.55,2612.80,351.28K,-0.72%
8/12/24,2722.64,2553.57,2747.46,2518.31,516.79K,6.62%
8/11/24,2553.57,2609.91,2713.68,2545.99,319.79K,-2.17%
8/10/24,2610.24,2598.79,2640.46,2579.59,186.39K,0.44%
8/9/24,2598.90,2682.25,2703.80,2556.98,443.65K,-3.16%
8/8/24,2683.84,2342.81,2716.50,2322.98,626.93K,14.80%
8/7/24,2337.83,2461.84,2550.36,2311.79,671.86K,-5.04%
8/6/24,2461.92,2415.98,2548.23,2415.98,691.59K,1.90%
8/5/24,2415.99,2688.59,2696.91,2166.31,2.81M,-10.14%
8/4/24,2688.55,2904.59,2931.40,2639.79,543.64K,-7.44%
8/3/24,2904.59,2990.32,3017.57,2863.44,371.14K,-2.87%
8/2/24,2990.32,3203.37,3217.36,2967.43,415.57K,-6.70%
8/1/24,3204.93,3231.81,3242.07,3082.01,350.33K,-0.83%
7/31/24,3231.84,3278.94,3348.63,3216.48,255.01K,-1.44%
7/30/24,3278.94,3318.24,3366.02,3237.67,210.28K,-1.18%
7/29/24,3318.24,3270.32,3396.70,3260.86,340.45K,1.47%
7/28/24,3270.32,3248.83,3282.54,3201.64,113.09K,0.72%
7/27/24,3247.06,3275.12,3326.91,3199.80,247.90K,-0.86%
7/26/24,3275.12,3175.52,3285.72,3173.08,281.13K,3.14%
7/25/24,3175.52,3335.33,3342.15,3089.07,524.98K,-4.79%
7/24/24,3335.33,3482.54,3487.04,3311.80,292.51K,-4.23%
7/23/24,3482.54,3440.01,3537.89,3396.70,521.07K,1.24%
7/22/24,3440.01,3535.55,3559.66,3424.86,219.41K,-2.70%
7/21/24,3535.55,3517.04,3544.71,3415.57,230.63K,0.53%
7/20/24,3517.04,3504.42,3538.32,3480.08,157.77K,0.36%
7/19/24,3504.42,3425.95,3539.42,3377.94,317.73K,2.29%
7/18/24,3425.94,3387.83,3489.43,3374.48,256.50K,1.13%
7/17/24,3387.81,3443.02,3514.65,3378.55,312.39K,-1.60%
7/16/24,3442.99,3483.50,3494.60,3347.85,392.52K,-1.20%
7/15/24,3484.78,3243.50,3490.89,3233.77,329.57K,7.44%
7/14/24,3243.50,3175.10,3265.80,3165.38,171.44K,2.15%
7/13/24,3175.10,3134.15,3200.12,3113.52,125.08K,1.33%
7/12/24,3133.33,3099.82,3157.43,3048.61,195.63K,1.08%
7/11/24,3099.82,3101.17,3214.07,3057.55,299.18K,-0.04%
7/10/24,3101.17,3065.11,3149.76,3026.42,281.44K,1.18%
7/9/24,3065.11,3019.64,3108.63,3004.62,292.94K,1.51%
7/8/24,3019.64,2930.48,3084.20,2826.32,517.87K,3.04%
7/7/24,2930.48,3068.79,3072.32,2923.63,194.87K,-4.51%
7/6/24,3068.79,2981.40,3080.16,2955.65,225.18K,2.93%
7/5/24,2981.40,3057.85,3108.66,2822.44,940.65K,-2.50%
7/4/24,3057.81,3295.13,3313.23,3052.15,510.41K,-7.20%
7/3/24,3295.13,3421.71,3432.12,3256.31,356.89K,-3.70%
7/2/24,3421.71,3442.66,3463.90,3402.98,149.31K,-0.61%
7/1/24,3442.67,3437.84,3522.00,3426.69,241.71K,0.14%
6/30/24,3437.84,3378.60,3459.12,3356.74,150.94K,1.75%
6/29/24,3378.60,3380.17,3408.32,3374.78,95.20K,-0.05%
6/28/24,3380.15,3450.45,3487.12,3369.65,238.05K,-2.04%
6/27/24,3450.45,3370.79,3472.72,3364.08,217.37K,2.37%
6/26/24,3370.72,3395.03,3424.75,3328.42,250.14K,-0.72%
6/25/24,3395.03,3352.26,3424.88,3337.14,275.47K,1.28%
6/24/24,3352.29,3420.83,3433.89,3245.76,601.35K,-2.00%
6/23/24,3420.84,3495.96,3520.35,3410.03,191.03K,-2.15%
6/22/24,3495.87,3518.03,3520.80,3476.08,158.47K,-0.63%
6/21/24,3518.03,3512.95,3543.69,3447.50,392.71K,0.15%
6/20/24,3512.91,3561.24,3624.46,3486.58,371.29K,-1.36%
6/19/24,3561.30,3484.57,3585.80,3466.82,346.10K,2.20%
6/18/24,3484.55,3511.52,3515.87,3373.14,480.08K,-0.77%
6/17/24,3511.52,3625.11,3636.99,3470.65,356.79K,-3.13%
6/16/24,3625.11,3568.74,3650.11,3541.46,156.55K,1.58%
6/15/24,3568.72,3481.75,3592.84,3474.26,256.22K,2.50%
6/14/24,3481.84,3470.16,3530.94,3368.09,339.90K,0.34%
6/13/24,3470.15,3559.95,3561.15,3433.13,316.98K,-2.52%
6/12/24,3559.95,3497.99,3652.79,3464.17,418.36K,1.77%
6/11/24,3498.00,3667.85,3672.92,3433.20,477.11K,-4.63%
6/10/24,3667.85,3706.32,3711.90,3650.33,165.29K,-1.04%
6/9/24,3706.32,3681.59,3719.02,3668.45,108.79K,0.67%
6/8/24,3681.59,3678.36,3709.44,3670.34,147.95K,0.09%
6/7/24,3678.37,3812.95,3840.88,3608.44,384.78K,-3.53%
6/6/24,3812.95,3865.15,3878.28,3765.23,251.82K,-1.35%
6/5/24,3865.14,3810.35,3885.15,3778.13,288.18K,1.44%
6/4/24,3810.35,3767.10,3831.41,3743.11,247.96K,1.15%
6/3/24,3767.10,3782.06,3849.47,3759.07,262.39K,-0.40%
6/2/24,3782.08,3815.95,3838.34,3753.62,219.62K,-0.89%
6/1/24,3815.95,3762.63,3832.35,3753.32,143.81K,1.42%
5/31/24,3762.66,3747.89,3844.96,3724.57,294.56K,0.40%
5/30/24,3747.55,3767.22,3824.94,3703.74,293.81K,-0.58%
5/29/24,3769.57,3845.56,3886.44,3745.72,353.25K,-1.98%
5/28/24,3845.56,3894.33,3929.21,3775.08,436.24K,-1.25%
5/27/24,3894.33,3825.99,3976.00,3824.33,393.85K,1.79%
5/26/24,3826.02,3749.28,3881.62,3733.77,313.07K,2.05%
5/25/24,3749.28,3728.32,3776.75,3709.70,170.39K,0.57%
5/24/24,3728.21,3785.61,3829.13,3635.18,514.00K,-1.52%
5/23/24,3785.65,3739.07,3941.42,3645.49,1.19M,1.25%
5/22/24,3739.08,3790.42,3810.50,3654.54,597.46K,-1.36%
5/21/24,3790.46,3661.04,3833.07,3630.71,1.01M,3.53%
5/20/24,3661.07,3072.07,3679.47,3048.33,899.51K,19.17%
5/19/24,3072.08,3122.87,3135.99,3058.31,170.99K,-1.63%
5/18/24,3122.87,3092.09,3145.59,3084.73,205.74K,0.97%
5/17/24,3092.75,2944.99,3116.65,2933.39,369.55K,5.02%
5/16/24,2944.99,3032.64,3040.62,2924.20,306.25K,-2.96%
5/15/24,3034.71,2881.99,3041.11,2864.50,363.90K,5.30%
5/14/24,2881.99,2951.01,2958.94,2866.00,279.49K,-2.34%
5/13/24,2951.01,2929.36,2993.23,2865.08,381.30K,0.74%
5/12/24,2929.35,2912.56,2953.92,2903.16,111.77K,0.58%
5/11/24,2912.56,2909.86,2943.58,2889.62,144.62K,0.09%
5/10/24,2909.86,3036.32,3052.94,2882.82,355.90K,-4.16%
5/9/24,3036.32,2974.92,3057.07,2953.21,248.78K,2.06%
5/8/24,2974.94,3006.32,3036.79,2941.71,283.76K,-1.04%
5/7/24,3006.36,3062.03,3128.32,3004.04,315.01K,-1.82%
5/6/24,3062.03,3136.40,3220.04,3048.65,377.37K,-2.37%
5/5/24,3136.40,3117.14,3170.63,3074.55,229.16K,0.62%
5/4/24,3117.23,3102.25,3146.74,3095.58,205.59K,0.48%
5/3/24,3102.25,2987.11,3125.81,2958.98,381.95K,3.85%
5/2/24,2987.12,2973.30,3014.55,2897.11,387.64K,0.47%
5/1/24,2973.27,3014.38,3023.06,2819.19,672.37K,-1.36%
4/30/24,3014.41,3216.85,3250.44,2927.77,591.88K,-6.28%
4/29/24,3216.29,3261.72,3286.75,3119.56,438.13K,-1.39%
4/28/24,3261.69,3255.57,3347.45,3250.66,318.13K,0.19%
4/27/24,3255.57,3131.42,3282.99,3073.79,334.66K,3.98%
4/26/24,3130.90,3155.83,3165.94,3104.77,263.09K,-0.79%
4/25/24,3155.83,3141.03,3189.11,3078.65,369.13K,0.47%
4/24/24,3141.03,3220.11,3292.31,3111.91,409.83K,-2.46%
4/23/24,3220.13,3200.28,3262.50,3153.81,265.42K,0.61%
4/22/24,3200.62,3147.84,3233.84,3130.24,306.74K,1.68%
4/21/24,3147.83,3156.62,3195.43,3116.85,234.07K,-0.28%
4/20/24,3156.63,3056.51,3168.90,3020.82,256.05K,3.29%
4/19/24,3056.23,3064.49,3122.51,2871.82,645.65K,-0.27%
4/18/24,3064.48,2985.82,3089.53,2955.31,423.99K,2.63%
4/17/24,2985.82,3083.42,3123.68,2917.59,524.88K,-3.17%
4/16/24,3083.43,3100.98,3125.19,2998.17,560.47K,-0.56%
4/15/24,3100.94,3152.65,3273.03,3030.76,654.92K,-1.64%
4/14/24,3152.65,3005.96,3168.52,2913.83,799.68K,4.93%
4/13/24,3004.44,3237.16,3296.69,2863.89,1.06M,-7.27%
4/12/24,3239.86,3502.55,3551.22,3150.92,739.63K,-7.50%
4/11/24,3502.55,3545.16,3615.24,3479.15,349.38K,-1.20%
4/10/24,3545.16,3506.95,3560.13,3419.12,404.41K,1.09%
4/9/24,3506.96,3694.92,3723.75,3459.79,482.49K,-5.09%
4/8/24,3694.93,3454.17,3727.87,3409.58,538.85K,6.97%
4/7/24,3454.17,3351.99,3459.43,3344.89,217.80K,3.05%
4/6/24,3352.03,3317.84,3394.80,3307.23,190.08K,1.03%
4/5/24,3317.84,3327.45,3344.17,3212.89,359.70K,-0.29%
4/4/24,3327.45,3310.82,3435.57,3254.31,371.23K,0.51%
4/3/24,3310.62,3278.01,3366.75,3203.21,426.57K,1.00%
4/2/24,3277.99,3502.84,3505.39,3216.48,647.13K,-6.42%
4/1/24,3502.82,3647.08,3647.08,3421.96,422.72K,-3.96%
3/31/24,3647.09,3506.82,3652.97,3505.17,252.38K,4.00%
3/30/24,3506.83,3509.76,3564.04,3487.64,224.95K,-0.08%
3/29/24,3509.76,3559.43,3583.18,3475.04,334.49K,-1.40%
3/28/24,3559.43,3500.43,3609.66,3470.62,416.69K,1.69%
3/27/24,3500.43,3587.48,3661.91,3462.44,460.87K,-2.43%
3/26/24,3587.50,3590.62,3677.24,3544.55,520.43K,-0.09%
3/25/24,3590.62,3455.35,3651.30,3421.09,584.66K,3.92%
3/24/24,3455.33,3332.87,3469.66,3300.74,270.03K,3.67%
3/23/24,3332.90,3334.19,3430.04,3275.78,334.86K,-0.04%
3/22/24,3334.12,3492.89,3541.65,3254.56,589.84K,-4.55%
3/21/24,3493.23,3514.73,3583.02,3413.60,638.79K,-0.61%
3/20/24,3514.73,3165.07,3531.37,3063.60,1.26M,11.04%
3/19/24,3165.20,3520.32,3546.23,3151.42,1.11M,-10.09%
3/18/24,3520.30,3644.77,3644.77,3454.94,588.48K,-3.42%
3/17/24,3644.78,3523.66,3678.07,3421.42,549.29K,3.44%
3/16/24,3523.68,3741.16,3778.60,3476.82,567.02K,-5.81%
3/15/24,3741.12,3881.70,3931.33,3591.51,981.71K,-3.68%
3/14/24,3883.94,4004.30,4009.92,3729.51,672.52K,-3.01%
3/13/24,4004.29,3979.30,4078.48,3935.60,503.46K,0.63%
3/12/24,3979.30,4065.15,4091.28,3843.45,685.77K,-2.11%
3/11/24,4065.02,3878.47,4081.72,3756.39,767.30K,4.81%
3/10/24,3878.47,3905.17,3961.94,3793.64,372.52K,-0.68%
3/9/24,3905.17,3883.20,3941.34,3872.96,265.43K,0.57%
3/8/24,3883.20,3868.75,3991.89,3825.16,686.06K,0.35%
3/7/24,3869.69,3814.56,3932.77,3736.33,568.32K,1.45%
3/6/24,3814.56,3555.94,3899.99,3503.51,1.02M,7.27%
3/5/24,3556.03,3626.39,3819.79,3237.28,1.48M,-1.94%
3/4/24,3626.34,3488.67,3638.10,3445.47,769.53K,3.95%
3/3/24,3488.67,3420.64,3491.53,3364.44,363.55K,1.99%
3/2/24,3420.64,3433.51,3459.96,3395.03,296.91K,-0.37%
3/1/24,3433.51,3339.25,3449.56,3339.24,431.98K,2.82%
2/29/24,3339.26,3382.98,3520.80,3300.42,802.17K,-1.29%
2/28/24,3383.03,3242.44,3482.48,3183.92,1.01M,4.35%
2/27/24,3242.14,3175.94,3285.01,3165.91,674.56K,2.08%
2/26/24,3175.94,3112.59,3193.67,3038.00,582.39K,2.04%
2/25/24,3112.59,2992.29,3117.59,2984.29,450.78K,4.02%
2/24/24,2992.29,2922.24,3005.95,2907.23,251.89K,2.40%
2/23/24,2922.24,2972.47,2992.80,2906.43,441.33K,-1.69%
2/22/24,2972.46,2971.18,3031.76,2907.22,595.92K,0.04%
2/21/24,2971.18,3015.38,3016.76,2871.88,620.51K,-1.47%
2/20/24,3015.38,2944.79,3030.61,2879.82,674.55K,2.40%
2/19/24,2944.80,2880.16,2983.48,2859.82,478.68K,2.25%
2/18/24,2880.10,2785.90,2892.79,2765.97,391.11K,3.38%
2/17/24,2785.90,2801.80,2804.17,2721.21,251.97K,-0.57%
2/16/24,2801.80,2822.59,2856.76,2759.52,401.19K,-0.74%
2/15/24,2822.59,2775.12,2864.41,2760.98,520.70K,1.71%
2/14/24,2775.12,2640.12,2785.51,2619.77,491.97K,5.11%
2/13/24,2640.10,2657.91,2686.14,2597.15,530.99K,-0.67%
2/12/24,2657.87,2506.69,2663.57,2473.54,477.42K,6.03%
2/11/24,2506.69,2500.28,2537.85,2493.83,230.91K,0.26%
2/10/24,2500.28,2486.24,2515.95,2472.92,194.43K,0.56%
2/9/24,2486.24,2419.56,2522.96,2419.16,540.92K,2.76%
2/8/24,2419.56,2424.66,2461.00,2412.01,350.33K,-0.21%
2/7/24,2424.64,2372.65,2443.71,2354.46,355.40K,2.19%
2/6/24,2372.65,2301.83,2390.53,2299.24,381.23K,3.08%
2/5/24,2301.83,2289.78,2336.63,2271.28,244.98K,0.53%
2/4/24,2289.78,2296.50,2310.34,2272.02,180.39K,-0.29%
2/3/24,2296.50,2309.28,2329.50,2293.10,137.80K,-0.55%
2/2/24,2309.28,2304.28,2324.57,2282.87,246.89K,0.22%
2/1/24,2304.28,2283.14,2311.31,2240.79,323.61K,0.93%
1/31/24,2283.14,2343.11,2350.80,2266.80,408.79K,-2.56%
1/30/24,2343.11,2317.79,2389.23,2298.85,387.12K,1.09%
1/29/24,2317.79,2256.92,2320.97,2237.69,318.84K,2.70%
1/28/24,2256.92,2267.91,2306.43,2240.14,216.93K,-0.48%
1/27/24,2267.91,2267.56,2282.16,2252.31,151.26K,0.02%
1/26/24,2267.55,2217.71,2280.83,2195.88,377.79K,2.25%
1/25/24,2217.71,2234.64,2242.85,2173.82,344.11K,-0.76%
1/24/24,2234.64,2243.72,2264.66,2198.89,373.25K,-0.41%
1/23/24,2243.74,2313.65,2351.18,2169.54,750.52K,-3.02%
1/22/24,2313.64,2457.06,2465.97,2304.06,560.84K,-5.84%
1/21/24,2457.06,2472.04,2481.63,2453.48,126.52K,-0.61%
1/20/24,2472.03,2491.81,2491.81,2455.07,143.98K,-0.79%
1/19/24,2491.81,2469.77,2504.09,2418.61,443.42K,0.89%
1/18/24,2469.77,2531.26,2548.79,2430.97,467.22K,-2.43%
1/17/24,2531.26,2588.63,2592.88,2510.00,380.90K,-2.22%
1/16/24,2588.64,2511.95,2613.71,2501.00,395.07K,3.05%
1/15/24,2511.94,2473.96,2553.24,2472.69,332.15K,1.54%
1/14/24,2473.96,2578.36,2578.37,2470.21,316.45K,-4.05%
1/13/24,2578.36,2523.99,2589.98,2498.48,436.91K,2.15%
1/12/24,2523.98,2618.08,2712.88,2462.93,931.96K,-3.59%
1/11/24,2618.08,2581.90,2688.26,2567.55,889.36K,1.41%
1/10/24,2581.79,2344.29,2629.68,2342.21,1.12M,10.11%
1/9/24,2344.67,2330.99,2369.60,2229.25,588.19K,0.59%
1/8/24,2330.98,2221.40,2357.14,2167.42,565.23K,4.93%
1/7/24,2221.40,2240.49,2254.70,2209.46,216.41K,-0.85%
1/6/24,2240.49,2268.14,2269.65,2217.05,202.82K,-1.22%
1/5/24,2268.12,2267.29,2275.25,2207.40,426.01K,0.04%
1/4/24,2267.27,2209.49,2293.17,2202.99,467.01K,2.62%
1/3/24,2209.49,2355.28,2383.92,2122.78,852.01K,-6.19%
1/2/24,2355.27,2352.06,2430.53,2347.62,491.56K,0.14%
1/1/24,2352.03,2281.89,2352.03,2266.75,229.28K,3.07%
12/31/23,2281.90,2291.70,2320.91,2264.67,232.62K,-0.43%
12/30/23,2291.70,2299.24,2322.76,2269.23,219.92K,-0.33%
12/29/23,2299.24,2344.48,2385.26,2265.63,475.37K,-1.93%
12/28/23,2344.47,2378.63,2443.59,2338.46,626.91K,-1.44%
12/27/23,2378.63,2230.76,2391.53,2213.78,577.27K,6.63%
12/26/23,2230.74,2271.38,2274.71,2184.60,429.50K,-1.79%
12/25/23,2271.38,2263.57,2303.28,2253.25,298.17K,0.35%
12/24/23,2263.57,2308.60,2325.08,2247.73,319.33K,-1.95%
12/23/23,2308.61,2324.24,2330.07,2267.39,266.30K,-0.67%
12/22/23,2324.23,2239.62,2341.52,2232.83,620.73K,3.78%
12/21/23,2239.62,2202.19,2277.72,2183.35,471.46K,1.70%
12/20/23,2202.19,2177.45,2263.30,2161.76,440.35K,1.14%
12/19/23,2177.44,2218.82,2254.75,2137.80,400.94K,-1.86%
12/18/23,2218.80,2197.01,2223.30,2123.06,388.26K,0.99%
12/17/23,2197.04,2229.07,2247.84,2196.06,233.48K,-1.44%
12/16/23,2229.07,2220.41,2262.68,2212.80,206.79K,0.39%
12/15/23,2220.41,2315.40,2317.42,2213.18,349.63K,-4.11%
12/14/23,2315.64,2260.18,2331.63,2237.39,461.60K,2.45%
12/13/23,2260.18,2203.49,2283.84,2148.87,436.64K,2.57%
12/12/23,2203.49,2225.33,2243.34,2168.18,377.05K,-0.98%
12/11/23,2225.34,2352.26,2355.02,2164.16,678.03K,-5.40%
12/10/23,2352.26,2340.55,2376.57,2324.18,206.78K,0.50%
12/9/23,2340.55,2358.42,2401.34,2332.36,304.64K,-0.76%
12/8/23,2358.42,2355.78,2389.36,2340.88,397.41K,0.11%
12/7/23,2355.80,2233.45,2381.65,2224.61,518.61K,5.48%
12/6/23,2233.45,2293.36,2310.20,2223.15,431.57K,-2.61%
12/5/23,2293.34,2243.30,2302.29,2190.96,561.41K,2.22%
12/4/23,2243.54,2192.79,2272.26,2191.43,601.45K,2.31%
12/3/23,2192.79,2164.79,2215.46,2150.58,279.65K,1.29%
